Part Name,Quantity
F695 flanged bearing,6
GT2 20T 6mm pulley,2
Hybrid_SLM_V2_Z_belt_clip_a,4
Hybrid_SLM_V2_Z_belt_clip_b,4
M3 washer,8
M3x35 BHCS,8
M3x6 BHCS,2
M3x8 BHCS,2
M3x8 FHCS,4
M3xD5x20 threaded round standoff,2
M3xD6x20 spacer,8
M5 2020 drop-in T-nut,8
M5xD8x5 spacer,4
Sheet_metal_6mm_spacer_b_2_or_2.5mm,1
Sheet_metal_V2_front_motor_mount_a_4.7-5mm,2
Sheet_metal_V2_front_motor_mount_b_4.7-5mm,2
Shim 0.5mm,4
Shim 1mm,2
_Hybrid_SLM_V2_6mm_Z_belt,2
_S45R shaft,1
_standard shaft,1
_stepper,2
