Part Name,Quantity
695 bearing,2
D5x25 smooth pin,2
D5x40 smooth pin,2
F695 flanged bearing,10
GT2 20T 9mm pulley,2
GT2 20T 9mm pulley de-hubbed,2
M3 2020 drop-in T-nut,4
M3 hex nut,2
M3 washer,14
M3x10 SHCS,2
M3x16 SHCS,2
M3x35 SHCS,2
M3x45 SHCS,8
M3x6 BHCS,4
M3xD5x4 threaded insert,4
M4x2.5 set screw,4
M5 2020 drop-in T-nut,10
M5 washer,10
M5x10 BHCS,2
M5x16 BHCS,8
Printed_9mm_tensioner_a,2
Printed_9mm_tensioner_b,2
Printed_V2_9mm_rear_motor_mount_a,2
Printed_V2_9mm_rear_motor_mount_b,2
Printed_long_shaft_double_shear_housing,2
Printed_long_shaft_double_shear_twist_lock,2
Printed_spacer,4
Shim 0.5mm,6
V2_spacer_FT,2
_S45R shaft,2
_stepper,2
