Part Name,Quantity
D5x30 smooth pin,4
Di=5mm L0=5mm compression spring,2
F695 flanged bearing,10
GT2 20T 6mm pulley,2
GT2 20T 6mm pulley de-hubbed,2
M3 washer,6
M3x35 BHCS,6
M3x6 BHCS,2
M3x6 FHCS,8
M3x8 BHCS,2
M3x8 FHCS,4
M3xD6x20 spacer,6
M4x2.5 set screw,4
M5 2020 drop-in T-nut,8
M5 washer,2
M5x10 BHCS,16
M5x30 BHCS,2
M5xD10x5 shaft collar,2
M5xD8x5 spacer,2
Sheet_metal_6mm_spacer_b_2_or_2.5mm,2
Sheet_metal_6mm_tensioner_a_4.7-5mm,2
Sheet_metal_6mm_tensioner_b_4.7-5mm,2
Sheet_metal_6mm_tensioner_c_4.7-5mm,2
Sheet_metal_VT_rear_motor_mount_a_4.7-5mm,2
Sheet_metal_VT_rear_motor_mount_b_4.7-5mm,2
Shim 0.2mm,2
Shim 0.5mm,2
Shim 1mm,6
_standard shaft,2
_stepper,2
