Part Name,Quantity
695 bearing,2
D5x40 smooth pin,4
Di=5mm L0=5mm compression spring,2
F695 flanged bearing,10
GT2 20T 9mm pulley,2
GT2 20T 9mm pulley de-hubbed,2
M3 washer,6
M3x45 BHCS,6
M3x6 BHCS,4
M3x6 FHCS,8
M3x8 BHCS,4
M3xD6x30 spacer,6
M4x2.5 set screw,4
M5 2020 drop-in T-nut,8
M5 washer,18
M5x16 BHCS,16
M5x30 BHCS,2
M5xD10x5 shaft collar,2
M5xD8x5 spacer,4
Sheet_metal_9mm_spacer_a_2x2.5_or_5mm,4
Sheet_metal_9mm_spacer_d_2x2.5_or_5mm,4
Sheet_metal_9mm_tensioner_a_4.7-5mm,2
Sheet_metal_9mm_tensioner_b_4.7-5mm,2
Sheet_metal_9mm_tensioner_c_4.7-5mm,2
Sheet_metal_VT_rear_motor_mount_a_4.7-5mm,2
Sheet_metal_VT_rear_motor_mount_b_4.7-5mm,2
Shim 0.5mm,6
Shim 1mm,6
_S45R shaft,2
_Sheet_metal_VT_9mm_rear_left_motor_mount_hardware,1
_stepper,2
