Part Name,Quantity
695 bearing,2
D5x40 smooth pin,2
Di=5mm L0=5mm compression spring,2
F695 flanged bearing,8
GT2 20T 9mm pulley de-hubbed,2
M3 hex nut,4
M3 washer,8
M3x4 BHCS,8
M3x40 BHCS,4
M3x6 BHCS,12
M3xD5x30 threaded round standoff,2
M4x2.5 set screw,4
M5x12 BHCS,6
M5xD8x5 spacer,8
Sheet_metal_9mm_XY_joint_c_3-3.2mm,2
Sheet_metal_9mm_spacer_a_2x2.5_or_5mm,2
Sheet_metal_9mm_spacer_b_2x2.5_or_5mm,2
Sheet_metal_9mm_spacer_c_2x2.5_or_5mm,4
Sheet_metal_XY_joint_a_3-3.2mm,2
Sheet_metal_XY_joint_b_3-3.2mm,2
Shim 0.2mm,2
Shim 0.5mm,12
Shim 1mm,4
